2025.12.19 13:38:29 INFO  Started: Metals version 1.6.4 in folders '/home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs' for client Visual Studio Code 1.107.1.
2025.12.19 13:38:29 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.12.19 13:38:30 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:38:33 INFO  Running List(/home/ckassab/Apps/scala3-3.7.3-x86_64-pc-linux/bin/scala-cli, setup-ide, /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs)
2025.12.19 13:38:33 INFO  Attempting to connect to the build server...
2025.12.19 13:38:33 INFO  Running BSP server List(/home/ckassab/Apps/scala3-3.7.3-x86_64-pc-linux/bin/scala-cli, bsp, --json-options, /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.scala-build/ide-options-v2.json, --json-launcher-options, /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.scala-build/ide-launcher-options.json, --envs-file, /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.scala-build/ide-envs.json, /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs)
2025.12.19 13:38:33 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.metals/bsp.trace.json or /home/ckassab/.cache/metals/bsp.trace.json
2025.12.19 13:38:33 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:38:34 INFO  BSP server: [error] ./Catalogs.sc:6:16
2025.12.19 13:38:34 INFO  BSP server: [error] /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/GeneralLibraries: not found path defined in using directive.
2025.12.19 13:38:34 INFO  BSP server: [error] //> using file ../GeneralLibraries // import all common libraries
2025.12.19 13:38:34 INFO  BSP server: [error]                ^^^^^^^^^^^^^^^^^^^
2025.12.19 13:38:33 INFO  time: Connected to build server in 0.58s
2025.12.19 13:38:33 INFO  Connected to Build server: scala-cli v1.10.0
2025.12.19 13:38:33 INFO  Created report: Optional.empty
2025.12.19 13:38:33 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.metals/.reports/bloop/2025-12-19/r_Empty build targets...._13-38-34-284.md")
2025.12.19 13:38:33 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.metals/.reports/bloop/2025-12-19/r_Empty build targets...._13-38-34-284.md")
2025.12.19 13:38:33 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.metals/.reports/bloop/2025-12-19/r_Empty build targets...._13-38-34-284.md")
2025.12.19 13:38:33 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/.metals/.reports/bloop/2025-12-19/r_Empty build targets...._13-38-34-284.md")
2025.12.19 13:38:34 INFO  time: Imported build in 0.14s
Dec 19, 2025 1:38:36 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
2025.12.19 13:38:36 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.12.19 13:38:36 INFO  time: indexed workspace in 2.38s
2025.12.19 13:38:36 WARN  no build target for: /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc
2025.12.19 13:38:36 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:38:36 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:38:36 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
Dec 19, 2025 1:38:36 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
2025.12.19 13:39:19 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:19 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:19 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:20 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:20 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:22 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
2025.12.19 13:39:22 INFO  no build target found for /home/ckassab/Development/ETLs/ETLsHowTo/ETLsWithScala/Projects/Catalogs/Catalogs.sc. Using presentation compiler with project's scala-library version: 3.3.6
